k,MMR min,MMR avg,MMR max,MMR Ïƒ
0,10,10,10,0
5,8.33,8.73,8.75,0.08
10,7.33,8.57,8.75,0.33
15,6.88,7.96,8.67,0.57
20,5.76,7.31,8.63,0.69
25,4.9,6.52,8.55,0.94
30,3.86,5.91,8.53,1.12
35,2.86,5.16,8.53,1.21
40,2.34,4.55,8.53,1.27
45,1.17,3.77,8.53,1.4
50,0,3.09,8.53,1.57
55,0,2.53,8.53,1.68
60,0,1.92,8.53,1.73
65,0,1.3,8.53,1.71
70,0,1,8.53,1.72
75,0,0.73,8.53,1.68
80,0,0.54,8.53,1.67
85,0,0.43,8.53,1.67
90,0,0.4,8.53,1.67
95,0,0.39,8.53,1.67
100,0,0.39,8.53,1.67
105,0,0.39,8.53,1.67
110,0,0.39,8.53,1.67
115,0,0.39,8.53,1.67
120,0,0.39,8.53,1.67
125,0,0.39,8.53,1.67
130,0,0.39,8.53,1.67
135,0,0.39,8.53,1.67
140,0,0.39,8.53,1.67
145,0,0.39,8.53,1.67
150,0,0.39,8.53,1.67
