i,qC = 400 then qV = 100
0,20.0
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,20.0
7,20.0
8,20.0
9,20.0
10,20.0
11,20.0
12,20.0
13,20.0
14,20.0
15,20.0
16,20.0
17,20.0
18,20.0
19,20.0
20,20.0
21,20.0
22,20.0
23,20.0
24,20.0
25,20.0
26,20.0
27,20.0
28,20.0
29,20.0
30,20.0
31,20.0
32,20.0
33,20.0
34,20.0
35,20.0
36,20.0
37,20.0
38,20.0
39,20.0
40,20.0
41,20.0
42,20.0
43,20.0
44,20.0
45,20.0
46,20.0
47,20.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,20.0
62,20.0
63,20.0
64,20.0
65,20.0
66,20.0
67,20.0
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,20.0
84,20.0
85,20.0
86,20.0
87,20.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,20.0
105,20.0
106,20.0
107,20.0
108,20.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,20.0
117,20.0
118,20.0
119,20.0
120,20.0
121,20.0
122,20.0
123,20.0
124,20.0
125,20.0
126,20.0
127,20.0
128,20.0
129,20.0
130,20.0
131,20.0
132,20.0
133,20.0
134,20.0
135,20.0
136,20.0
137,20.0
138,20.0
139,20.0
140,20.0
141,20.0
142,20.0
143,20.0
144,20.0
145,20.0
146,20.0
147,20.0
148,20.0
149,20.0
150,20.0
151,20.0
152,20.0
153,20.0
154,20.0
155,20.0
156,20.0
157,20.0
158,20.0
159,20.0
160,20.0
161,20.0
162,20.0
163,20.0
164,20.0
165,20.0
166,20.0
167,20.0
168,20.0
169,20.0
170,20.0
171,20.0
172,20.0
173,20.0
174,20.0
175,20.0
176,20.0
177,20.0
178,20.0
179,20.0
180,20.0
181,20.0
182,20.0
183,20.0
184,20.0
185,20.0
186,20.0
187,20.0
188,20.0
189,20.0
190,20.0
191,20.0
192,20.0
193,20.0
194,20.0
195,20.0
196,20.0
197,20.0
198,20.0
199,20.0
200,20.0
201,20.0
202,20.0
203,20.0
204,20.0
205,20.0
206,20.0
207,20.0
208,20.0
209,20.0
210,20.0
211,20.0
212,20.0
213,20.0
214,20.0
215,20.0
216,20.0
217,20.0
218,20.0
219,20.0
220,20.0
221,20.0
222,20.0
223,20.0
224,20.0
225,20.0
226,20.0
227,20.0
228,20.0
229,20.0
230,20.0
231,20.0
232,20.0
233,20.0
234,20.0
235,20.0
236,20.0
237,20.0
238,20.0
239,20.0
240,20.0
241,20.0
242,20.0
243,20.0
244,20.0
245,20.0
246,20.0
247,20.0
248,20.0
249,20.0
250,20.0
251,20.0
252,20.0
253,20.0
254,20.0
255,20.0
256,20.0
257,20.0
258,20.0
259,20.0
260,20.0
261,20.0
262,20.0
263,20.0
264,20.0
265,20.0
266,20.0
267,20.0
268,20.0
269,20.0
270,20.0
271,20.0
272,20.0
273,20.0
274,20.0
275,20.0
276,20.0
277,20.0
278,20.0
279,20.0
280,20.0
281,20.0
282,20.0
283,20.0
284,20.0
285,20.0
286,20.0
287,20.0
288,20.0
289,20.0
290,20.0
291,20.0
292,20.0
293,20.0
294,20.0
295,20.0
296,20.0
297,20.0
298,20.0
299,20.0
300,20.0
301,20.0
302,20.0
303,20.0
304,20.0
305,20.0
306,20.0
307,20.0
308,20.0
309,20.0
310,20.0
311,20.0
312,20.0
313,20.0
314,20.0
315,20.0
316,20.0
317,20.0
318,20.0
319,20.0
320,20.0
321,20.0
322,20.0
323,20.0
324,20.0
325,20.0
326,20.0
327,20.0
328,20.0
329,20.0
330,20.0
331,20.0
332,20.0
333,20.0
334,20.0
335,20.0
336,20.0
337,20.0
338,20.0
339,20.0
340,20.0
341,20.0
342,20.0
343,20.0
344,20.0
345,20.0
346,20.0
347,20.0
348,20.0
349,20.0
350,20.0
351,20.0
352,20.0
353,20.0
354,20.0
355,20.0
356,20.0
357,20.0
358,20.0
359,20.0
360,20.0
361,20.0
362,20.0
363,20.0
364,20.0
365,20.0
366,20.0
367,20.0
368,20.0
369,20.0
370,20.0
371,20.0
372,20.0
373,20.0
374,20.0
375,20.0
376,20.0
377,20.0
378,20.0
379,20.0
380,20.0
381,20.0
382,20.0
383,20.0
384,20.0
385,20.0
386,20.0
387,20.0
388,20.0
389,20.0
390,20.0
391,20.0
392,20.0
393,20.0
394,20.0
395,20.0
396,20.0
397,20.0
398,20.0
399,20.0
400,20.0
401,20.0
402,19.999999440000003
403,19.999998159999997
404,19.999996
405,19.999992840000004
406,19.99998868
407,19.999983519999994
408,19.733975769291597
409,19.29717075466163
410,19.108874890802237
411,18.933758527387013
412,18.85200231844769
413,18.838805437343137
414,18.828044551491114
415,18.823103011072917
416,18.81595495651139
417,18.809124822318676
418,18.797716654190513
419,18.780088447032266
420,18.731488322083333
421,18.678679946112243
422,18.660394060829574
423,18.625434119459392
424,18.56988075339477
425,18.51162037375872
426,18.452424972371944
427,18.4157968383686
428,18.371299303618013
429,18.276730574197824
430,18.175389419782782
431,18.125059911605955
432,18.093525148381183
433,18.00497204582158
434,17.98206795382129
435,17.889544658573726
436,17.867773357438676
437,17.803545136108475
438,17.73779056073151
439,17.73779012073151
440,17.70391780767727
441,17.67308221424136
442,17.65803134725058
443,17.583418443118035
444,17.51166527484101
445,17.482522129642433
446,17.45627672327514
447,17.365595055287205
448,17.26145034066407
449,17.201779072336652
450,17.160997272293358
451,17.135106083057334
452,17.05838614686348
453,17.051657161289988
454,17.02567282956142
455,16.97168386923897
456,16.95374705479602
457,16.881166695709382
458,16.849906591995886
459,16.809314382077822
460,16.77172090159842
461,16.7597312197506
462,16.73879998106
463,16.67259991396792
464,16.62651931417921
465,16.60803252529864
466,16.512838135984488
467,16.4772206756431
468,16.417573067903195
469,16.393869769443018
470,16.385091422462196
471,16.35846888499864
472,16.313118926696554
473,16.265151609812207
474,16.23778321005772
475,16.206224564821
476,16.17083409934417
477,16.087082480013912
478,16.02052169140767
479,15.997847384275662
480,15.93401680807643
481,15.919993148805618
482,15.862414682598063
483,15.811056581968156
484,15.755123065002927
485,15.734211325161082
486,15.655282538363506
487,15.636172825188373
488,15.618037683321159
489,15.59478498069659
490,15.507536131718226
491,15.407526531126782
492,15.344341963237396
493,15.254208968542853
494,15.205825257320274
495,15.172315452755436
496,15.142600528146597
497,15.100941626683687
498,15.067135328260422
499,15.038416111342249
500,15.011016706621502
