i,qV(1)/qC(0),Run 1 of 1
1,0,"Question{QuestionCommittee{λ=21/2, rank=4}}"
2,0,"Question{QuestionCommittee{λ=21/2, rank=6}}"
3,0,"Question{QuestionCommittee{λ=21/2, rank=3}}"
4,0,"Question{QuestionCommittee{λ=21/2, rank=1}}"
5,0,"Question{QuestionCommittee{λ=21/2, rank=5}}"
6,0,"Question{QuestionCommittee{λ=21/2, rank=8}}"
7,0,"Question{QuestionCommittee{λ=23/4, rank=6}}"
8,0,"Question{QuestionCommittee{λ=21/2, rank=2}}"
9,0,"Question{QuestionCommittee{λ=23/4, rank=1}}"
10,0,"Question{QuestionCommittee{λ=27/8, rank=6}}"
11,0,"Question{QuestionCommittee{λ=21/2, rank=7}}"
12,0,"Question{QuestionCommittee{λ=23/4, rank=5}}"
13,0,"Question{QuestionCommittee{λ=27/8, rank=5}}"
14,0,"Question{QuestionCommittee{λ=27/8, rank=1}}"
15,0,"Question{QuestionCommittee{λ=23/4, rank=2}}"
16,0,"Question{QuestionCommittee{λ=23/4, rank=8}}"
17,0,"Question{QuestionCommittee{λ=23/4, rank=3}}"
18,0,"Question{QuestionCommittee{λ=23/4, rank=4}}"
19,0,"Question{QuestionCommittee{λ=35/16, rank=5}}"
20,0,"Question{QuestionCommittee{λ=51/32, rank=5}}"
21,0,"Question{QuestionCommittee{λ=27/8, rank=4}}"
22,0,"Question{QuestionCommittee{λ=83/64, rank=5}}"
23,0,"Question{QuestionCommittee{λ=147/128, rank=5}}"
24,0,"Question{QuestionCommittee{λ=35/16, rank=6}}"
25,0,"Question{QuestionCommittee{λ=51/32, rank=6}}"
26,0,"Question{QuestionCommittee{λ=35/16, rank=4}}"
27,0,"Question{QuestionCommittee{λ=275/256, rank=5}}"
28,0,"Question{QuestionCommittee{λ=51/32, rank=4}}"
29,0,"Question{QuestionCommittee{λ=27/8, rank=3}}"
30,0,"Question{QuestionCommittee{λ=27/8, rank=2}}"
31,0,"Question{QuestionCommittee{λ=35/16, rank=1}}"
32,0,"Question{QuestionCommittee{λ=35/16, rank=3}}"
33,0,"Question{QuestionCommittee{λ=35/16, rank=2}}"
34,0,"Question{QuestionCommittee{λ=51/32, rank=2}}"
35,0,"Question{QuestionCommittee{λ=83/64, rank=4}}"
36,0,"Question{QuestionCommittee{λ=51/32, rank=1}}"
37,0,"Question{QuestionCommittee{λ=23/4, rank=7}}"
38,0,"Question{QuestionCommittee{λ=51/32, rank=3}}"
39,0,"Question{QuestionCommittee{λ=531/512, rank=5}}"
40,0,"Question{QuestionCommittee{λ=27/8, rank=8}}"
41,0,"Question{QuestionCommittee{λ=35/16, rank=8}}"
42,0,"Question{QuestionCommittee{λ=27/8, rank=7}}"
43,0,"Question{QuestionCommittee{λ=83/64, rank=6}}"
44,0,"Question{QuestionCommittee{λ=51/32, rank=8}}"
45,0,"Question{QuestionCommittee{λ=35/16, rank=7}}"
46,0,"Question{QuestionCommittee{λ=83/64, rank=2}}"
47,0,"Question{QuestionCommittee{λ=185/128, rank=2}}"
48,0,"Question{QuestionCommittee{λ=185/128, rank=6}}"
49,0,"Question{QuestionCommittee{λ=121/64, rank=8}}"
50,0,"Question{QuestionCommittee{λ=351/256, rank=6}}"
51,0,"Question{QuestionCommittee{λ=683/512, rank=6}}"
52,0,"Question{QuestionCommittee{λ=147/128, rank=4}}"
53,0,"Question{QuestionCommittee{λ=83/64, rank=1}}"
54,0,"Question{QuestionCommittee{λ=351/256, rank=2}}"
55,0,"Question{QuestionCommittee{λ=1347/1024, rank=6}}"
56,0,"Question{QuestionCommittee{λ=83/64, rank=3}}"
57,0,"Question{QuestionCommittee{λ=683/512, rank=2}}"
58,0,"Question{QuestionCommittee{λ=1347/1024, rank=2}}"
59,0,"Question{QuestionCommittee{λ=147/128, rank=1}}"
60,0,"Question{QuestionCommittee{λ=147/128, rank=3}}"
61,0,"Question{QuestionCommittee{λ=275/256, rank=3}}"
62,0,"Question{QuestionCommittee{λ=275/256, rank=1}}"
63,0,"Question{QuestionCommittee{λ=2713/2048, rank=6}}"
64,0,"Question{QuestionCommittee{λ=5407/4096, rank=6}}"
65,0,"Question{QuestionCommittee{λ=569/512, rank=1}}"
66,0,"Question{QuestionCommittee{λ=51/32, rank=7}}"
67,0,"Question{QuestionCommittee{λ=1157/1024, rank=1}}"
68,0,"Question{QuestionCommittee{λ=569/512, rank=3}}"
69,0,"Question{QuestionCommittee{λ=83/64, rank=7}}"
70,0,"Question{QuestionCommittee{λ=223/128, rank=8}}"
71,0,"Question{QuestionCommittee{λ=1043/1024, rank=5}}"
72,0,"Question{QuestionCommittee{λ=275/256, rank=4}}"
73,0,"Question{QuestionCommittee{λ=1119/1024, rank=3}}"
74,0,"Question{QuestionCommittee{λ=427/256, rank=8}}"
75,0,"Question{QuestionCommittee{λ=2067/2048, rank=5}}"
76,0,"Question{QuestionCommittee{λ=10795/8192, rank=6}}"
77,0,"Question{QuestionCommittee{λ=873/512, rank=8}}"
78,0,"Question{QuestionCommittee{λ=2219/2048, rank=3}}"
79,0,"Question{QuestionCommittee{λ=4457/4096, rank=3}}"
80,0,"Question{QuestionCommittee{λ=2295/2048, rank=1}}"
81,0,"Question{QuestionCommittee{λ=4153/4096, rank=5}}"
82,0,"Question{QuestionCommittee{λ=21609/16384, rank=6}}"
83,0,"Question{QuestionCommittee{λ=43237/32768, rank=6}}"
84,0,"Question{QuestionCommittee{λ=8287/8192, rank=5}}"
85,0,"Question{QuestionCommittee{λ=16593/16384, rank=5}}"
86,0,"Question{QuestionCommittee{λ=4609/4096, rank=1}}"
87,0,"Question{QuestionCommittee{λ=531/512, rank=4}}"
88,0,"Question{QuestionCommittee{λ=1727/1024, rank=8}}"
89,0,"Question{QuestionCommittee{λ=9237/8192, rank=1}}"
90,0,"Question{QuestionCommittee{λ=3435/2048, rank=8}}"
91,0,"Question{QuestionCommittee{λ=1081/1024, rank=4}}"
92,0,"Question{QuestionCommittee{λ=8933/8192, rank=3}}"
93,0,"Question{QuestionCommittee{λ=86493/65536, rank=6}}"
94,0,"Question{QuestionCommittee{λ=2143/2048, rank=4}}"
95,0,"Question{QuestionCommittee{λ=173005/131072, rank=6}}"
96,0,"Question{QuestionCommittee{λ=6889/4096, rank=8}}"
97,0,"Question{QuestionCommittee{λ=13759/8192, rank=8}}"
98,0,"Question{QuestionCommittee{λ=18493/16384, rank=1}}"
99,0,"Question{QuestionCommittee{λ=2675/2048, rank=2}}"
100,0,"Question{QuestionCommittee{λ=147/128, rank=7}}"
101,0,"Question{QuestionCommittee{λ=275/256, rank=7}}"
102,0,"Question{QuestionCommittee{λ=37005/32768, rank=1}}"
103,0,"Question{QuestionCommittee{λ=73991/65536, rank=1}}"
104,0,"Question{QuestionCommittee{λ=531/512, rank=7}}"
105,0,"Question{QuestionCommittee{λ=27537/16384, rank=8}}"
106,0,"Question{QuestionCommittee{λ=4267/4096, rank=4}}"
107,0,"Question{QuestionCommittee{λ=33167/32768, rank=5}}"
108,0,"Question{QuestionCommittee{λ=66353/65536, rank=5}}"
109,0,"Question{QuestionCommittee{λ=8515/8192, rank=4}}"
110,0,"Question{QuestionCommittee{λ=148001/131072, rank=1}}"
111,0,"Question{QuestionCommittee{λ=346029/262144, rank=6}}"
112,0,"Question{QuestionCommittee{λ=1043/1024, rank=7}}"
113,0,"Question{QuestionCommittee{λ=55055/32768, rank=8}}"
114,0,"Question{QuestionCommittee{λ=110091/65536, rank=8}}"
115,0,"Question{QuestionCommittee{λ=17885/16384, rank=3}}"
116,0,"Question{QuestionCommittee{λ=17049/16384, rank=4}}"
117,0,"Question{QuestionCommittee{λ=692039/524288, rank=6}}"
118,0,"Question{QuestionCommittee{λ=295983/262144, rank=1}}"
119,0,"Question{QuestionCommittee{λ=220163/131072, rank=8}}"
120,0,"Question{QuestionCommittee{λ=440307/262144, rank=8}}"
121,0,"Question{QuestionCommittee{λ=5331/4096, rank=2}}"
122,0,"Question{QuestionCommittee{λ=35751/32768, rank=3}}"
123,0,"Question{QuestionCommittee{λ=10681/8192, rank=2}}"
124,0,"Question{QuestionCommittee{λ=1384059/1048576, rank=6}}"
125,0,"Question{QuestionCommittee{λ=2105/2048, rank=7}}"
126,0,"Question{QuestionCommittee{λ=4229/4096, rank=7}}"
127,0,"Question{QuestionCommittee{λ=2768099/2097152, rank=6}}"
128,0,"Question{QuestionCommittee{λ=21343/16384, rank=2}}"
129,0,"Question{QuestionCommittee{λ=8439/8192, rank=7}}"
130,0,"Question{QuestionCommittee{λ=5536217/4194304, rank=6}}"
131,0,"Question{QuestionCommittee{λ=132725/131072, rank=5}}"
132,0,"Question{QuestionCommittee{λ=42667/32768, rank=2}}"
133,0,"Question{QuestionCommittee{λ=34117/32768, rank=4}}"
134,0,"Question{QuestionCommittee{λ=68215/65536, rank=4}}"
135,0,"Question{QuestionCommittee{λ=11072415/8388608, rank=6}}"
136,0,"Question{QuestionCommittee{λ=136411/131072, rank=4}}"
137,0,"Question{QuestionCommittee{λ=272841/262144, rank=4}}"
138,0,"Question{QuestionCommittee{λ=880595/524288, rank=8}}"
139,0,"Question{QuestionCommittee{λ=22144811/16777216, rank=6}}"
140,0,"Question{QuestionCommittee{λ=44289603/33554432, rank=6}}"
141,0,"Question{QuestionCommittee{λ=1761209/1048576, rank=8}}"
142,0,"Question{QuestionCommittee{λ=88579225/67108864, rank=6}}"
143,0,"Question{QuestionCommittee{λ=265469/262144, rank=5}}"
144,0,"Question{QuestionCommittee{λ=545663/524288, rank=4}}"
145,0,"Question{QuestionCommittee{λ=16859/16384, rank=7}}"
146,0,"Question{QuestionCommittee{λ=530919/524288, rank=5}}"
147,0,"Question{QuestionCommittee{λ=1091307/1048576, rank=4}}"
148,0,"Question{QuestionCommittee{λ=71483/65536, rank=3}}"
149,0,"Question{QuestionCommittee{λ=142985/131072, rank=3}}"
150,0,"Question{QuestionCommittee{λ=285951/262144, rank=3}}"
151,1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=2}}"
152,1,"Question{QuestionVoter{voter=Voter{19}, a=2, b=3}}"
153,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=4}}"
154,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=5}}"
155,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=6}}"
156,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=7}}"
157,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=8}}"
158,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=9}}"
159,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=10}}"
160,1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=2}}"
161,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=4}}"
162,1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=5}}"
163,1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=5}}"
164,1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=5}}"
165,1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=6}}"
166,1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=7}}"
167,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=8}}"
168,1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=9}}"
169,1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=10}}"
170,1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=1}}"
171,1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=4}}"
172,1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=4}}"
173,1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=4}}"
174,1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=4}}"
175,1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=4}}"
176,1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=4}}"
177,1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=8}}"
178,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=8}}"
179,1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=2}}"
180,1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=6}}"
181,1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=6}}"
182,1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=9}}"
183,1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=1}}"
184,1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=5}}"
185,1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=7}}"
186,1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=7}}"
187,1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=7}}"
188,1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=7}}"
189,1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=7}}"
190,1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=10}}"
191,1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=1}}"
192,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=6}}"
193,1,"Question{QuestionVoter{voter=Voter{11}, a=3, b=6}}"
194,1,"Question{QuestionVoter{voter=Voter{20}, a=4, b=6}}"
195,1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=6}}"
196,1,"Question{QuestionVoter{voter=Voter{11}, a=3, b=1}}"
197,1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=6}}"
198,1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=6}}"
199,1,"Question{QuestionVoter{voter=Voter{17}, a=3, b=6}}"
200,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=7}}"
201,1,"Question{QuestionVoter{voter=Voter{11}, a=3, b=2}}"
202,1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=2}}"
203,1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=9}}"
204,1,"Question{QuestionVoter{voter=Voter{13}, a=4, b=9}}"
205,1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=9}}"
206,1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=9}}"
207,1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=10}}"
208,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=10}}"
209,1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=8}}"
210,1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=8}}"
211,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=5}}"
212,1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=4}}"
213,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=4}}"
214,1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=1}}"
215,1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=1}}"
216,1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=1}}"
217,1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=7}}"
218,1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=7}}"
219,1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=7}}"
220,1,"Question{QuestionVoter{voter=Voter{20}, a=5, b=7}}"
221,1,"Question{QuestionVoter{voter=Voter{10}, a=2, b=7}}"
222,1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=7}}"
223,1,"Question{QuestionVoter{voter=Voter{14}, a=4, b=7}}"
224,1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=8}}"
225,1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=10}}"
226,1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=10}}"
227,1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=10}}"
228,1,"Question{QuestionVoter{voter=Voter{19}, a=2, b=7}}"
229,1,"Question{QuestionVoter{voter=Voter{17}, a=3, b=7}}"
230,1,"Question{QuestionVoter{voter=Voter{13}, a=4, b=10}}"
231,1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=10}}"
232,1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=1}}"
233,1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=6}}"
234,1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=6}}"
235,1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=1}}"
236,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=9}}"
237,1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=6}}"
238,1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=2}}"
239,1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=2}}"
240,1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=2}}"
241,1,"Question{QuestionVoter{voter=Voter{12}, a=4, b=2}}"
242,1,"Question{QuestionVoter{voter=Voter{17}, a=3, b=2}}"
243,1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=4}}"
244,1,"Question{QuestionVoter{voter=Voter{17}, a=3, b=5}}"
245,1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=5}}"
246,1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=8}}"
247,1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=8}}"
248,1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=1}}"
249,1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=10}}"
250,1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=2}}"
251,1,"Question{QuestionVoter{voter=Voter{17}, a=2, b=7}}"
252,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=10}}"
253,1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=7}}"
