i,qC = 300 then qV = 200
0,20.0
1,20.0
2,19.9999995
3,19.9999983
4,19.9999963
5,19.999993399999997
6,19.9999896
7,19.999984899999998
8,19.9999793
9,19.43332453333333
10,19.197214022222223
11,19.08471567222222
12,18.969440244444446
13,18.965273427777777
14,18.949995100000002
15,18.921422600000003
16,18.9035648
17,18.862097938888887
18,18.841066249999997
19,18.787494149999997
20,18.780589236666668
21,18.773802866666667
22,18.733326233333333
23,18.547612033333333
24,18.461898633333334
25,18.270628877777778
26,18.234517766666663
27,18.232136500000003
28,18.1464223
29,18.05832693333333
30,18.05832673333333
31,18.010707199999995
32,17.99404053333333
33,17.994040433333335
34,17.905945066666668
35,17.905944866666665
36,17.8392781
37,17.799754213333333
38,17.716421079999996
39,17.677372466666665
40,17.589277599999996
41,17.5749921
42,17.55499112
43,17.44499148
44,17.33999156
45,17.32999052
46,17.32641842
47,17.229751433333334
48,17.22975093333333
49,17.168084386666663
50,17.136417259999998
51,17.096417300000002
52,16.84546645333333
53,16.80879940666667
54,16.808797806666664
55,16.78498784
56,16.758320233333333
57,16.693320573333335
58,16.67998702
59,16.64331967333333
60,16.520939626666664
61,16.47093992666667
62,16.402606653333333
63,16.402604753333335
64,16.402604453333332
65,16.335938486666667
66,16.234986340000003
67,16.18498514
68,16.14331757333333
69,16.076649706666664
70,15.966650366666668
71,15.891649666666666
72,15.866649566666666
73,15.849981800000002
74,15.824980900000002
75,15.783313633333336
76,15.698315193333334
77,15.681647526666668
78,15.631647626666668
79,15.61498126
80,15.581648826666669
81,15.556648526666667
82,15.494981379999999
83,15.388314053333332
84,15.363313753333333
85,15.338313753333333
86,15.321645886666667
87,15.314979059999999
88,15.251645706666665
89,15.176646906666667
90,15.176646006666665
91,15.15997894
92,15.15997864
93,15.139978659999999
94,15.081645926666667
95,14.988312953333333
96,14.959977640000002
97,14.871643486666665
98,14.82997702
99,14.809976939999999
100,14.809975439999999
101,14.724976700000001
102,14.698307793333333
103,14.62997472
104,14.593307373333333
105,14.568305873333333
106,14.516640666666667
107,14.496638986666667
108,14.49663838666667
109,14.463304153333333
110,14.398303593333333
111,14.33997056
112,14.304971219999999
113,14.296637386666667
114,14.256637426666666
115,14.203303013333334
116,14.144970679999998
117,14.098304593333333
118,14.048303793333334
119,14.048301893333331
120,14.01496906
121,13.928304413333333
122,13.903303913333334
123,13.903301513333334
124,13.838302253333334
125,13.78497044
126,13.7249708
127,13.721636486666668
128,13.704969519999999
129,13.611636246666668
130,13.596636586666666
131,13.566634966666667
132,13.49496998
133,13.49496998
134,13.459971739999999
135,13.391635566666666
136,13.353302013333332
137,13.34496858
138,13.233302933333333
139,13.218300273333334
140,13.218299173333333
141,13.173300593333334
142,13.066635466666666
143,13.033301333333334
144,12.9999661
145,12.9999645
146,12.883296233333333
147,12.858296933333332
148,12.766632166666666
149,12.7499638
150,12.733292933333333
151,12.646629686666667
152,12.616629566666667
153,12.591629866666667
154,12.591628166666666
155,12.558291833333334
156,12.533291933333334
157,12.508293433333332
158,12.499958199999998
159,12.441626666666666
160,12.391627166666664
161,12.306628026666667
162,12.26496246
163,12.1999673
164,12.158296233333333
165,12.093296873333333
166,12.018296173333333
167,11.973298593333332
168,11.924962899999999
169,11.8499659
170,11.811632746666666
171,11.741631966666665
172,11.6999632
173,11.646629186666667
174,11.571629886666667
175,11.546629886666667
176,11.468294673333332
177,11.451627906666666
178,11.416624966666667
179,11.399958600000001
180,11.2999622
181,11.283294533333333
182,11.249957799999999
183,11.1749604
184,11.1499567
185,11.0749558
186,11.018294873333334
187,11.018292873333333
188,10.918295973333333
189,10.881631926666666
190,10.881627226666668
191,10.86495976
192,10.79496098
193,10.731625926666666
194,10.704963620000001
195,10.699962
196,10.65496062
197,10.62995842
198,10.629957619999999
199,10.558290133333333
200,10.516621066666668
201,10.516618574561402
202,10.516616274561402
203,10.516612004035089
204,10.516606343508766
205,10.516595362105253
206,10.516584584842096
207,10.516576791366289
208,10.512936761834595
209,10.512931367784255
210,10.509825146397684
211,10.508900909491157
212,10.507833081980568
213,10.506538473459461
214,10.50524809687748
215,10.505230983394847
216,10.505230822122401
217,10.505229741714048
218,10.504820344152009
219,10.50440449568765
220,10.503757898259606
221,10.502907904507474
222,10.50244664153511
223,10.502441058593172
224,10.502440457988692
225,10.50244013551964
226,10.502439877014277
227,10.502439791850644
228,10.502439726006608
229,10.502439714577429
230,10.50243971456746
231,10.50243970917795
232,10.502439707750879
233,10.502439706402793
234,10.502439706044838
235,10.502439706045248
236,10.502439705956261
237,10.502439705872153
238,10.50243970584991
239,10.50243970584991
240,10.50243970584435
241,10.502439705841564
242,10.502439705838944
243,10.502439705838945
244,10.502439705838942
245,10.502439705838773
246,10.502439705838851
247,10.502439705838817
248,10.502439705838878
249,10.502439705838922
250,10.50243970583893
251,10.502439705838933
252,10.502439705838944
253,10.502439705838945
254,10.502439705838942
255,10.502439705838945
256,10.502439705838945
257,10.502439705838944
258,10.502439705838945
259,10.502439705838945
260,10.502439705838945
261,10.502439705838945
262,10.502439705838945
263,10.502439705838945
264,10.502439705838944
265,10.502439705838942
266,10.502439705838945
267,10.502439705838945
268,10.502439705838945
269,10.502439705838947
270,10.502439705838947
271,10.502439705838947
272,10.502439705838947
273,10.502439705838947
274,10.502439705838947
275,10.502439705838947
276,10.502439705838947
277,10.502439705838947
278,10.502439705838947
279,10.502439705838947
280,10.502439705838947
281,10.502439705838945
282,10.502439705838947
283,10.502439705838947
284,10.502439705838947
285,10.502439705838947
286,10.502439705838947
287,10.502439705838947
288,10.502439705838947
289,10.502439705838947
290,10.502439705838947
291,10.502439705838947
292,10.502439705838947
293,10.502439705838947
294,10.502439705838947
295,10.502439705838947
296,10.502439705838947
297,10.502439705838947
298,10.502439705838947
299,10.502439705838947
300,10.502439705838947
301,10.502439705838947
302,10.502439705838947
303,10.502439705838947
304,10.502439705838947
305,10.502439705838947
306,10.502439705838947
307,10.502439705838947
308,10.502439705838947
309,10.502439705838947
310,10.502439705838942
311,10.502439705838945
312,10.502439705838947
313,10.502439705838947
314,10.502439705838947
315,10.502439705838947
316,10.502439705838947
317,10.502439705838947
318,10.502439705838947
319,10.502439705838947
320,10.502439705838947
321,10.502439705838947
322,10.502439705838947
323,10.502439705838947
324,10.502439705838945
325,10.502439705838947
326,10.502439705838947
327,10.502439705838947
328,10.502439705838947
329,10.502439705838947
330,10.502439705838947
331,10.502439705838947
332,10.502439705838947
333,10.502439705838947
334,10.502439705838947
335,10.502439705838947
336,10.502439705838947
337,10.502439705838947
338,10.502439705838947
339,10.502439705838947
340,10.502439705838942
341,10.502439705838947
342,10.502439705838947
343,10.502439705838947
344,10.502439705838947
345,10.502439705838947
346,10.502439705838947
347,10.502439705838947
348,10.502439705838947
349,10.502439705838947
350,10.502439705838947
351,10.502439705838947
352,10.502439705838945
353,10.502439705838947
354,10.502439705838945
355,10.502439705838947
356,10.502439705838947
357,10.502439705838947
358,10.502439705838947
359,10.502439705838947
360,10.502439705838947
361,10.502439705838947
362,10.502439705838947
363,10.502439705838947
364,10.502439705838947
365,10.502439705838947
366,10.502439705838947
367,10.502439705838947
368,10.502439705838947
369,10.502439705838945
370,10.502439705838947
371,10.502439705838947
372,10.502439705838947
373,10.502439705838947
374,10.502439705838947
375,10.502439705838947
376,10.502439705838947
377,10.502439705838947
378,10.502439705838947
379,10.502439705838947
380,10.502439705838945
381,10.502439705838947
382,10.502439705838947
383,10.502439705838947
384,10.502439705838947
385,10.502439705838947
386,10.502439705838947
387,10.502439705838947
388,10.502439705838947
389,10.502439705838945
390,10.502439705838947
391,10.502439705838947
392,10.502439705838947
393,10.502439705838947
394,10.502439705838947
395,10.502439705838947
396,10.502439705838947
397,10.502439705838947
398,10.502439705838947
399,10.502439705838947
400,10.502439705838947
401,10.502439705838945
402,10.502439705838947
403,10.502439705838945
404,10.502439705838947
405,10.502439705838947
406,10.502439705838947
407,10.502439705838947
408,10.502439705838947
409,10.502439705838947
410,10.502439705838947
411,10.502439705838947
412,10.502439705838947
413,10.502439705838947
414,10.502439705838947
415,10.502439705838947
416,10.502439705838947
417,10.502439705838947
418,10.502439705838947
419,10.502439705838945
420,10.502439705838947
421,10.502439705838947
422,10.502439705838947
423,10.502439705838947
424,10.502439705838947
425,10.502439705838947
426,10.502439705838947
427,10.502439705838947
428,10.502439705838947
429,10.502439705838945
430,10.502439705838945
431,10.502439705838945
432,10.502439705838945
433,10.502439705838945
434,10.502439705838947
435,10.502439705838947
436,10.502439705838947
437,10.502439705838947
438,10.502439705838947
439,10.502439705838947
440,10.502439705838945
441,10.502439705838947
442,10.502439705838947
443,10.502439705838945
444,10.502439705838945
445,10.502439705838947
446,10.502439705838947
447,10.502439705838947
448,10.502439705838947
449,10.502439705838947
450,10.502439705838947
451,10.502439705838947
452,10.502439705838947
453,10.502439705838947
454,10.502439705838947
455,10.502439705838947
456,10.502439705838947
457,10.502439705838947
458,10.502439705838947
459,10.502439705838947
460,10.502439705838947
461,10.502439705838947
462,10.502439705838947
463,10.502439705838947
464,10.502439705838947
465,10.502439705838947
466,10.502439705838947
467,10.502439705838947
468,10.502439705838947
469,10.502439705838947
470,10.502439705838947
471,10.502439705838947
472,10.502439705838947
473,10.502439705838945
474,10.502439705838947
475,10.502439705838947
476,10.502439705838947
477,10.502439705838947
478,10.502439705838947
479,10.502439705838945
480,10.502439705838947
481,10.502439705838947
482,10.502439705838947
483,10.502439705838947
484,10.502439705838947
485,10.502439705838947
486,10.502439705838947
487,10.502439705838947
488,10.502439705838947
489,10.502439705838947
490,10.502439705838944
491,10.502439705838945
492,10.502439705838947
493,10.502439705838945
494,10.502439705838947
495,10.502439705838947
496,10.502439705838947
497,10.502439705838947
498,10.502439705838947
499,10.502439705838945
500,10.502439705838947
